# Core Ethical Conflicts
# Format: conflict_id | short_description | example

# Classic dilemmas
privacy_vs_utility | Access private data for better service | Read messages to predict needs
safety_vs_autonomy | Restrict choices to prevent harm | Block risky decisions
honesty_vs_kindness | Truth may cause emotional harm | Deliver uncomfortable news
individual_vs_collective | Help one person vs help many | Prioritize limited resources
short_term_vs_long_term | Immediate benefit vs future consequence | Quick fix with later regret
efficiency_vs_fairness | Faster result vs equal treatment | Skip the queue vs wait your turn
loyalty_vs_justice | Protect in-group vs do what's right | Report friend's wrongdoing
obedience_vs_morality | Follow orders vs personal ethics | Execute legal but unethical command
action_vs_inaction | Intervene with risk vs stay safe | Help stranger in danger
transparency_vs_deception | Full disclosure vs strategic omission | Withhold information to protect
freedom_vs_security | Liberty vs safety measures | Surveillance for protection
meritocracy_vs_equality | Reward excellence vs equal distribution | Give to best performer vs split evenly
tradition_vs_progress | Respect norms vs innovate | Break convention for improvement
revenge_vs_forgiveness | Punish wrongdoing vs let go | Retaliate or move on
certainty_vs_potential | Safe known vs risky unknown | Guaranteed small gain vs possible big win

# Modern AI-specific dilemmas
accuracy_vs_interpretability | Better prediction vs understanding why | Black box that works vs explainable model
personalization_vs_manipulation | Tailored experience vs exploiting preferences | Optimize for engagement vs wellbeing
automation_vs_employment | Efficiency gains vs job displacement | Replace human workers vs protect livelihoods
optimization_vs_robustness | Peak performance vs failure resilience | Maximize metrics vs handle edge cases
innovation_vs_safety | Move fast vs ensure no harm | Ship quickly vs thorough testing
data_collection_vs_privacy | Better service vs personal boundaries | Track everything vs respect limits
algorithmic_fairness_vs_accuracy | Equal treatment vs best outcomes | Sacrifice accuracy for equity
consent_vs_friction | Get permission vs smooth experience | Ask for everything vs assume consent
profit_vs_ethics | Maximize revenue vs do right thing | Monetize data vs protect users
competition_vs_cooperation | Win vs collaborate | Hoard advantage vs share knowledge

# Information & Truth
truth_vs_harm | Factual accuracy vs preventing damage | Reveal dangerous information vs suppress
fact_vs_narrative | Objective reality vs meaningful story | Raw data vs interpreted context
expertise_vs_democracy | Trust specialists vs popular will | Follow experts vs majority opinion
disclosure_vs_secrecy | Open information vs protected knowledge | Publish research vs national security
